_id,precioTotal,nombreCliente,pedido,estado,fecha,metodoPago
67fc5500ccdccd648ad5b5c4,33.24,67fc5500ccdccd648ad5b5c3,"[{'producto': ObjectId('67fc5500ccdccd648ad5b56c'), 'cantidad': 1, 'especificaciones': 'Scientist assume garden likely military knowledge paper certain.'}]",False,2023-04-02 00:00:00,tarjeta
67fc5500ccdccd648ad5b5c5,3.42,67fc5500ccdccd648ad5b5c3,"[{'producto': ObjectId('67fc5500ccdccd648ad5b58d'), 'cantidad': 3, 'especificaciones': 'Environment crime mouth spring produce bar food defense.'}]",True,2018-10-28 00:00:00,efectivo
67fc5500ccdccd648ad5b5c6,103.13,67fc5500ccdccd648ad5b5c3,"[{'producto': ObjectId('67fc5500ccdccd648ad5b549'), 'cantidad': 1, 'especificaciones': 'Significant several may your agent special.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b57a'), 'cantidad': 1, 'especificaciones': 'Write practice pick pattern.'}]",False,2019-09-20 00:00:00,transferencia
67fc5500ccdccd648ad5b5c9,349.89,67fc5500ccdccd648ad5b5c8,"[{'producto': ObjectId('67fc5500ccdccd648ad5b561'), 'cantidad': 3, 'especificaciones': 'Head card lot few idea pretty move.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b551'), 'cantidad': 3, 'especificaciones': 'Around economic out whether central factor field direction.'}]",False,2022-02-01 00:00:00,transferencia
67fc5500ccdccd648ad5b5cc,128.68,67fc5500ccdccd648ad5b5cb,"[{'producto': ObjectId('67fc5500ccdccd648ad5b560'), 'cantidad': 5, 'especificaciones': 'Structure agency under go.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b540'), 'cantidad': 1, 'especificaciones': 'Imagine yourself American garden call.'}]",False,2018-04-09 00:00:00,tarjeta
67fc5500ccdccd648ad5b5cd,226.18,67fc5500ccdccd648ad5b5cb,"[{'producto': ObjectId('67fc5500ccdccd648ad5b58c'), 'cantidad': 1, 'especificaciones': 'Practice pressure economy behind young size pressure.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b53b'), 'cantidad': 2, 'especificaciones': 'Way if effort cold activity claim.'}]",False,2023-03-18 00:00:00,transferencia
67fc5500ccdccd648ad5b5ce,195.2,67fc5500ccdccd648ad5b5cb,"[{'producto': ObjectId('67fc5500ccdccd648ad5b554'), 'cantidad': 4, 'especificaciones': 'Tell understand letter crime risk.'}]",False,2023-04-26 00:00:00,transferencia
67fc5500ccdccd648ad5b5cf,280.34,67fc5500ccdccd648ad5b5cb,"[{'producto': ObjectId('67fc5500ccdccd648ad5b55d'), 'cantidad': 4, 'especificaciones': 'Night trouble value institution notice.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b585'), 'cantidad': 2, 'especificaciones': 'Allow walk cost recently wife commercial care.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b546'), 'cantidad': 4, 'especificaciones': 'Article various garden vote yourself may all.'}]",False,2018-09-26 00:00:00,tarjeta
67fc5500ccdccd648ad5b5d2,206.51,67fc5500ccdccd648ad5b5d1,"[{'producto': ObjectId('67fc5500ccdccd648ad5b568'), 'cantidad': 2, 'especificaciones': 'Example commercial fire.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b54a'), 'cantidad': 5, 'especificaciones': 'Idea success no.'}, {'producto': ObjectId('67fc5500ccdccd648ad5b58e'), 'cantidad': 1, 'especificaciones': 'Debate position blood.'}]",False,2024-05-06 00:00:00,transferencia
67fc5500ccdccd648ad5b5d3,12.62,67fc5500ccdccd648ad5b5d1,"[{'producto': ObjectId('67fc5500ccdccd648ad5b54d'), 'cantidad': 2, 'especificaciones': 'Hear knowledge own fall.'}]",True,2022-04-16 00:00:00,tarjeta
